member_id,publication_year,publication_count,publications_with_keywords
mem_0f24dba938,2023,24,20
mem_0f24dba938,2024,28,27
mem_0f24dba938,2025,29,25
mem_0f24dba938,2026,17,14
mem_0f73a389b6,1998,3,1
mem_0f73a389b6,1999,6,3
mem_0f73a389b6,2000,22,10
mem_0f73a389b6,2001,13,5
mem_0f73a389b6,2002,11,8
mem_0f73a389b6,2003,7,2
mem_0f73a389b6,2004,13,5
mem_0f73a389b6,2005,20,9
mem_0f73a389b6,2006,15,5
mem_0f73a389b6,2007,14,8
mem_0f73a389b6,2008,22,13
mem_0f73a389b6,2009,21,14
mem_0f73a389b6,2010,17,11
mem_0f73a389b6,2011,23,16
mem_0f73a389b6,2012,22,15
mem_0f73a389b6,2013,27,17
mem_0f73a389b6,2014,34,22
mem_0f73a389b6,2015,42,31
mem_0f73a389b6,2016,33,20
mem_0f73a389b6,2017,31,23
mem_0f73a389b6,2018,33,19
mem_0f73a389b6,2019,39,22
mem_0f73a389b6,2020,43,33
mem_0f73a389b6,2021,48,33
mem_0f73a389b6,2022,31,20
mem_0f73a389b6,2023,32,21
mem_0f73a389b6,2024,31,20
mem_0f73a389b6,2025,42,29
mem_0f73a389b6,2026,32,24
mem_0f847603bd,1989,1,0
mem_0f847603bd,1993,1,1
mem_0f847603bd,1995,3,1
mem_0f847603bd,1996,2,0
mem_0f847603bd,1997,2,1
mem_0f847603bd,1999,2,2
mem_0f847603bd,2000,1,0
mem_0f847603bd,2001,1,1
mem_0f847603bd,2002,3,2
mem_0f847603bd,2003,4,2
mem_0f847603bd,2004,1,0
mem_0f847603bd,2005,2,0
mem_0f847603bd,2006,2,1
mem_0f847603bd,2007,1,1
mem_0f847603bd,2008,2,0
mem_0f847603bd,2009,4,3
mem_0f847603bd,2010,5,3
mem_0f847603bd,2012,4,4
mem_0f847603bd,2013,5,1
mem_0f847603bd,2014,2,1
mem_0f847603bd,2015,1,1
mem_0f847603bd,2016,1,0
mem_0f847603bd,2017,4,3
mem_0f847603bd,2018,6,5
mem_0f847603bd,2019,2,1
mem_0f847603bd,2020,8,5
mem_0f847603bd,2022,3,3
mem_0f847603bd,2023,1,0
mem_0f847603bd,2024,1,0
mem_0f847603bd,2025,2,2
mem_105244bf73,1989,1,0
mem_105244bf73,1993,1,0
mem_105244bf73,1994,1,1
mem_105244bf73,1997,1,0
mem_105244bf73,1998,2,2
mem_105244bf73,1999,2,1
mem_105244bf73,2000,3,3
mem_105244bf73,2001,3,2
mem_105244bf73,2002,2,2
mem_105244bf73,2003,1,0
mem_105244bf73,2004,1,0
mem_105244bf73,2006,4,3
mem_105244bf73,2008,6,5
mem_105244bf73,2009,3,3
mem_105244bf73,2010,6,4
mem_105244bf73,2011,8,7
mem_105244bf73,2012,1,1
mem_105244bf73,2013,1,1
mem_105244bf73,2014,3,2
mem_105244bf73,2015,10,6
mem_105244bf73,2016,5,4
mem_105244bf73,2017,6,4
mem_105244bf73,2018,6,4
mem_105244bf73,2019,14,13
mem_105244bf73,2020,10,6
mem_105244bf73,2021,7,2
mem_105244bf73,2022,6,1
mem_105244bf73,2023,6,3
mem_105244bf73,2024,6,3
mem_105244bf73,2025,7,3
mem_105244bf73,2026,2,2
mem_126415dca2,1997,2,1
mem_126415dca2,1998,3,1
mem_126415dca2,1999,1,1
mem_126415dca2,2000,1,0
mem_126415dca2,2001,2,1
mem_126415dca2,2002,1,1
mem_126415dca2,2003,2,2
mem_126415dca2,2004,3,3
mem_126415dca2,2005,2,2
mem_126415dca2,2007,4,0
mem_126415dca2,2008,5,2
mem_126415dca2,2009,1,1
mem_126415dca2,2010,1,1
mem_126415dca2,2011,6,6
mem_126415dca2,2012,8,7
mem_126415dca2,2013,4,2
mem_126415dca2,2014,8,6
mem_126415dca2,2015,7,5
mem_126415dca2,2016,9,9
mem_126415dca2,2017,10,7
mem_126415dca2,2018,4,2
mem_126415dca2,2019,6,5
mem_126415dca2,2020,5,3
mem_126415dca2,2021,7,7
mem_126415dca2,2022,7,5
mem_126415dca2,2023,10,7
mem_126415dca2,2024,10,8
mem_126415dca2,2025,6,2
mem_126415dca2,2026,1,1
mem_126bc39f5f,1986,1,0
mem_126bc39f5f,1988,1,0
mem_126bc39f5f,1990,1,0
mem_126bc39f5f,1991,3,1
mem_126bc39f5f,1992,1,1
mem_126bc39f5f,1997,1,1
mem_126bc39f5f,1999,1,1
mem_126bc39f5f,2000,1,0
mem_12cfcd78b8,2005,1,1
mem_12cfcd78b8,2006,1,1
mem_12cfcd78b8,2007,1,0
mem_12cfcd78b8,2008,3,2
mem_12cfcd78b8,2012,2,2
mem_12cfcd78b8,2014,3,1
mem_12cfcd78b8,2016,1,1
mem_12cfcd78b8,2017,3,3
mem_12cfcd78b8,2018,7,5
mem_12cfcd78b8,2019,7,7
mem_12cfcd78b8,2020,6,6
mem_12cfcd78b8,2021,11,10
mem_12cfcd78b8,2022,12,11
mem_12cfcd78b8,2023,10,8
mem_12cfcd78b8,2024,13,12
mem_12cfcd78b8,2025,15,13
mem_12cfcd78b8,2026,6,5
mem_14c5161155,2012,1,1
mem_14c5161155,2013,2,2
mem_14c5161155,2015,2,2
mem_14c5161155,2016,2,2
mem_14c5161155,2017,1,0
mem_14c5161155,2018,2,0
mem_14c5161155,2019,2,0
mem_14c5161155,2021,3,3
mem_14c5161155,2022,2,0
mem_14c5161155,2023,2,1
mem_14c5161155,2024,3,0
mem_14c5161155,2025,6,4
mem_14c5161155,2026,3,2
mem_14f73a10d6,2015,1,0
mem_14f73a10d6,2016,1,0
mem_14f73a10d6,2017,7,6
mem_14f73a10d6,2019,4,2
mem_14f73a10d6,2020,5,3
mem_14f73a10d6,2021,8,7
mem_14f73a10d6,2022,11,8
mem_14f73a10d6,2023,15,12
mem_14f73a10d6,2024,9,8
mem_14f73a10d6,2025,6,4
mem_14f73a10d6,2026,2,2
mem_1715d89fe0,2007,1,1
mem_1715d89fe0,2008,2,0
mem_1715d89fe0,2009,1,0
mem_1715d89fe0,2010,3,1
mem_1715d89fe0,2011,5,0
mem_1715d89fe0,2012,8,6
mem_1715d89fe0,2013,8,2
mem_1715d89fe0,2014,15,5
mem_1715d89fe0,2015,6,3
mem_1715d89fe0,2016,8,5
mem_1715d89fe0,2017,6,3
mem_1715d89fe0,2018,10,3
mem_1715d89fe0,2019,22,12
mem_1715d89fe0,2020,33,23
mem_1715d89fe0,2021,29,18
mem_1715d89fe0,2022,27,17
mem_1715d89fe0,2023,21,15
mem_1715d89fe0,2024,20,18
mem_1715d89fe0,2025,35,29
mem_1715d89fe0,2026,20,20
mem_1a2035eb16,2003,2,1
mem_1a2035eb16,2004,2,2
mem_1a2035eb16,2005,1,1
mem_1a2035eb16,2007,1,1
mem_1a2035eb16,2008,4,1
mem_1a2035eb16,2009,2,1
mem_1a2035eb16,2010,1,1
mem_1a2035eb16,2011,2,1
mem_1a2035eb16,2012,5,2
mem_1a2035eb16,2013,5,2
mem_1a2035eb16,2014,5,4
mem_1a2035eb16,2015,6,4
mem_1a2035eb16,2016,6,4
mem_1a2035eb16,2017,14,9
mem_1a2035eb16,2018,9,6
mem_1a2035eb16,2019,19,14
mem_1a2035eb16,2020,7,6
mem_1a2035eb16,2021,11,7
mem_1a2035eb16,2022,7,5
mem_1a2035eb16,2023,10,7
mem_1a2035eb16,2024,4,3
mem_1a2035eb16,2025,6,6
mem_1a2035eb16,2026,6,5
mem_1ae867ffe5,2012,1,1
mem_1ae867ffe5,2017,2,2
mem_1ae867ffe5,2018,1,1
mem_1ae867ffe5,2019,1,1
mem_1ae867ffe5,2021,1,1
mem_1ae867ffe5,2022,1,1
mem_1ae867ffe5,2026,1,1
mem_1d2325ddda,2001,1,0
mem_1d2325ddda,2003,1,1
mem_1d2325ddda,2007,1,1
mem_1d2325ddda,2008,1,0
mem_1d2325ddda,2010,3,1
mem_1d2325ddda,2011,3,0
mem_1d2325ddda,2012,2,1
mem_1d2325ddda,2014,3,1
mem_1d2325ddda,2015,2,1
mem_1d2325ddda,2017,1,1
mem_1d2325ddda,2018,2,2
mem_1d2325ddda,2019,1,0
mem_1d2325ddda,2023,1,1
mem_1d2325ddda,2025,1,0
mem_1da9136136,1998,1,0
mem_1da9136136,1999,1,0
mem_1da9136136,2000,1,1
mem_1da9136136,2001,1,1
mem_1da9136136,2004,1,1
mem_1da9136136,2005,4,1
mem_1da9136136,2006,3,2
mem_1da9136136,2007,2,2
mem_1da9136136,2008,5,3
mem_1da9136136,2009,6,3
mem_1da9136136,2010,3,3
mem_1da9136136,2011,4,3
mem_1da9136136,2012,10,7
mem_1da9136136,2013,8,7
mem_1da9136136,2014,11,7
mem_1da9136136,2015,7,6
mem_1da9136136,2016,4,2
mem_1da9136136,2017,6,6
mem_1da9136136,2018,4,3
mem_1da9136136,2019,15,12
mem_1da9136136,2020,13,11
mem_1da9136136,2021,10,7
mem_1da9136136,2022,3,3
mem_1da9136136,2023,12,7
mem_1da9136136,2024,14,7
mem_1da9136136,2025,8,3
mem_1da9136136,2026,13,9
mem_21acc57639,1989,1,0
mem_21acc57639,1991,1,0
mem_21acc57639,1996,1,1
mem_21acc57639,1999,1,0
mem_21acc57639,2009,2,2
mem_21acc57639,2015,2,2
mem_21acc57639,2016,1,1
mem_21acc57639,2019,1,1
mem_21acc57639,2020,1,0
mem_21acc57639,2022,2,2
mem_21acc57639,2024,1,0
mem_21e7f187f5,2008,1,0
mem_21e7f187f5,2009,2,1
mem_21e7f187f5,2010,2,0
mem_21e7f187f5,2011,3,1
mem_21e7f187f5,2012,1,1
mem_21e7f187f5,2013,2,0
mem_21e7f187f5,2014,2,1
mem_21e7f187f5,2015,1,1
mem_21e7f187f5,2016,2,1
mem_21e7f187f5,2017,1,0
mem_21e7f187f5,2018,2,1
mem_21e7f187f5,2019,1,1
mem_21e7f187f5,2020,1,1
mem_21e7f187f5,2021,5,5
mem_21e7f187f5,2022,4,3
mem_21e7f187f5,2023,2,1
mem_21e7f187f5,2024,1,1
mem_21e7f187f5,2025,6,5
mem_21e7f187f5,2026,1,1
mem_233f37a4ef,2002,1,1
mem_233f37a4ef,2004,2,1
mem_233f37a4ef,2006,1,1
mem_233f37a4ef,2007,1,1
mem_233f37a4ef,2008,2,1
mem_233f37a4ef,2009,3,2
mem_233f37a4ef,2010,2,1
mem_233f37a4ef,2011,2,1
mem_233f37a4ef,2013,4,4
mem_233f37a4ef,2014,3,3
mem_233f37a4ef,2015,8,5
mem_233f37a4ef,2016,10,7
mem_233f37a4ef,2017,12,12
mem_233f37a4ef,2018,9,8
mem_233f37a4ef,2019,4,3
mem_233f37a4ef,2020,9,7
mem_233f37a4ef,2021,14,11
mem_233f37a4ef,2022,10,9
mem_233f37a4ef,2023,13,11
mem_233f37a4ef,2024,15,12
mem_233f37a4ef,2025,15,10
mem_233f37a4ef,2026,8,6
mem_2434ffebd2,2011,1,1
mem_2434ffebd2,2012,2,2
mem_2434ffebd2,2013,5,3
mem_2434ffebd2,2014,13,11
mem_2434ffebd2,2015,9,8
mem_2434ffebd2,2016,17,12
mem_2434ffebd2,2017,15,12
mem_2434ffebd2,2018,11,6
mem_2434ffebd2,2019,9,8
mem_2434ffebd2,2020,29,19
mem_2434ffebd2,2021,32,29
mem_2434ffebd2,2022,37,28
mem_2434ffebd2,2023,25,18
mem_2434ffebd2,2024,27,23
mem_2434ffebd2,2025,29,27
mem_2434ffebd2,2026,20,19
mem_2561dcafb5,2003,1,0
mem_2561dcafb5,2006,2,0
mem_2561dcafb5,2007,2,0
mem_2561dcafb5,2008,1,1
mem_2561dcafb5,2010,1,0
mem_2561dcafb5,2013,1,0
mem_2561dcafb5,2014,3,3
mem_2561dcafb5,2016,3,1
mem_2561dcafb5,2017,2,1
mem_2561dcafb5,2018,1,0
mem_2561dcafb5,2019,1,0
mem_2561dcafb5,2020,1,1
mem_2561dcafb5,2021,3,1
mem_2561dcafb5,2022,3,0
mem_2561dcafb5,2023,2,0
mem_2561dcafb5,2024,3,2
mem_2561dcafb5,2025,2,1
mem_27ca2caae0,2010,1,1
mem_27ca2caae0,2013,2,2
mem_27ca2caae0,2015,3,3
mem_27ca2caae0,2019,1,1
mem_27ca2caae0,2020,2,1
mem_27ca2caae0,2022,5,3
mem_27ca2caae0,2023,2,2
mem_27ca2caae0,2024,9,8
mem_27ca2caae0,2025,15,7
mem_27ca2caae0,2026,5,4
mem_28292f693f,2000,1,1
mem_28292f693f,2003,2,2
mem_28292f693f,2005,4,1
mem_28292f693f,2006,4,1
mem_28292f693f,2007,2,1
mem_28292f693f,2008,1,1
mem_28292f693f,2009,4,3
mem_28292f693f,2010,6,5
mem_28292f693f,2011,8,3
mem_28292f693f,2012,7,3
mem_28292f693f,2013,7,6
mem_28292f693f,2014,3,2
mem_28292f693f,2015,5,5
mem_28292f693f,2016,9,7
mem_28292f693f,2017,5,5
mem_28292f693f,2018,5,5
mem_28292f693f,2019,6,5
mem_28292f693f,2020,7,5
mem_28292f693f,2021,3,3
mem_28292f693f,2022,7,5
mem_28292f693f,2023,1,0
mem_28292f693f,2024,1,0
mem_28292f693f,2025,1,0
mem_28292f693f,2026,1,1
mem_285408d323,2011,3,1
mem_285408d323,2013,1,1
mem_285408d323,2015,1,0
mem_285408d323,2016,3,1
mem_285408d323,2018,3,1
mem_285408d323,2019,6,5
mem_285408d323,2020,3,2
mem_285408d323,2021,7,3
mem_285408d323,2022,4,4
mem_285408d323,2023,5,4
mem_285408d323,2024,8,5
mem_285408d323,2025,14,9
mem_285408d323,2026,8,5
mem_28a1b9d70f,1994,1,0
mem_28a1b9d70f,1997,1,0
mem_28a1b9d70f,1998,1,1
mem_28a1b9d70f,1999,1,1
mem_28a1b9d70f,2003,1,1
mem_28a1b9d70f,2006,1,0
mem_28a1b9d70f,2007,1,1
mem_28a1b9d70f,2009,3,2
mem_28a1b9d70f,2010,1,0
mem_28a1b9d70f,2011,1,1
mem_28a1b9d70f,2013,3,3
mem_28a1b9d70f,2014,4,1
mem_28a1b9d70f,2015,2,2
mem_28a1b9d70f,2016,2,2
mem_28a1b9d70f,2017,5,3
mem_28a1b9d70f,2018,3,1
mem_28a1b9d70f,2019,3,3
mem_28a1b9d70f,2020,3,2
mem_28a1b9d70f,2021,1,1
mem_28a1b9d70f,2022,3,2
mem_28a1b9d70f,2023,4,4
mem_28a1b9d70f,2024,5,4
mem_28a1b9d70f,2025,3,3
mem_28a1b9d70f,2026,2,2
mem_29212b7883,2000,1,1
mem_29212b7883,2001,1,0
mem_29212b7883,2002,1,1
mem_29212b7883,2003,1,0
mem_29212b7883,2005,1,0
mem_29212b7883,2006,4,2
mem_29212b7883,2007,4,2
mem_29212b7883,2008,2,2
mem_29212b7883,2009,8,7
mem_29212b7883,2010,6,4
mem_29212b7883,2011,3,2
mem_29212b7883,2012,3,2
mem_29212b7883,2013,5,3
mem_29212b7883,2014,5,2
mem_29212b7883,2015,5,3
mem_29212b7883,2016,6,5
mem_29212b7883,2017,8,5
mem_29212b7883,2018,6,2
mem_29212b7883,2019,4,2
mem_29212b7883,2020,7,2
mem_29212b7883,2021,11,9
mem_29212b7883,2022,7,7
mem_29212b7883,2023,6,6
mem_29212b7883,2024,3,3
mem_29212b7883,2025,1,1
