profile,source_url,original,raw_normalized,research_area_normalized,matched_candidate_terms,matched_sources,matched_cuis,has_umls_match,final_output,final_output_simplified,final_output_simplified_cleaned,research_tag_publishable
Morley Hollenberg,https://cumming.ucalgary.ca/departments/physiology-pharmacology/morley-hollenberg,pathophysiology of receptor-mediated signaling by growth factors,pathophysiology of receptor-mediated signaling by growth factors,Receptor-Mediated Signal Transduction,receptor mediated signaling,MSH,C0034782,yes,Receptor-Mediated Signal Transduction,Receptor-Mediated Signal Transduction,Receptor Mediated Signal,Receptor Mediated Signal
Morley Hollenberg,https://cumming.ucalgary.ca/departments/physiology-pharmacology/morley-hollenberg,inflammatory processes triggered by microenvironment proteolytic enzymes,inflammatory processes triggered by microenvironment proteolytic enzymes,,,,,no,inflammatory processes triggered by microenvironment proteolytic enzymes,inflammatory processes triggered by microenvironment proteolytic enzymes,Inflammatory Processes Triggered By Microenvironment Proteolytic Enzymes,
Ki-Young Lee,https://cumming.ucalgary.ca/node/18463,alzheimer disease,alzheimer disease,Alzheimer's Disease | ALZHEIMER DISEASE 2 | ALZHEIMER DISEASE 4 | Alzheimer Disease 9,alzheimer disease,MTH,C0002395 | C1863051 | C1847200 | C1837149,yes,Alzheimer's Disease | ALZHEIMER DISEASE 2 | ALZHEIMER DISEASE 4 | Alzheimer Disease 9,Alzheimer's Disease,Alzheimer Disease,Alzheimer Disease
Ki-Young Lee,https://cumming.ucalgary.ca/node/18463,tau hyperphosphorylation in ad brain,tau hyperphosphorylation in ad brain,Hyperphosphorylated paratarg-7 | Brain Concussion | Brain Injuries | Brain Neoplasms | Brain Diseases,,MTH,C4083252 | C0006107 | C0270611 | C0006118 | C0006111,yes,Hyperphosphorylated paratarg-7 | Brain Concussion | Brain Injuries | Brain Neoplasms | Brain Diseases,tau hyperphosphorylation in ad brain,Tau Hyperphosphorylation In Ad Brain,
Aaron Gruber,https://profiles.ucalgary.ca/aaron-gruber,attention deficit disorder,attention deficit disorder,Attention Deficit Disorder | Attention deficit hyperactivity disorder | Child attention deficit disorder,attention deficit disorder | attention deficit | deficit disorder,MTH,C0041671 | C1263846 | C0004269,yes,Attention Deficit Disorder | Attention deficit hyperactivity disorder | Child attention deficit disorder,Attention Deficit Disorder,Attention Deficit Disorder,Attention Deficit Disorder
Aaron Gruber,https://profiles.ucalgary.ca/aaron-gruber,autism,autism,Autistic Disorder | Autism suspected,autism,MTH | SNOMEDCT_US,C0004352 | C1303176,yes,Autistic Disorder | Autism suspected,Autistic Disorder,Autistic Disorder,Autistic Disorder
Aaron Gruber,https://profiles.ucalgary.ca/aaron-gruber,environmental toxins,environmental toxins,Environmental Illness | Botulinum Toxins | Bacterial Toxins | Marine Toxins | Shiga Toxins,environmental toxins,MTH | MSH,C0282504 | C0006055 | C0004630 | C0024813 | C0148323,yes,Environmental Illness | Botulinum Toxins | Bacterial Toxins | Marine Toxins | Shiga Toxins,environmental toxins,Environmental Toxins,Environmental Toxins
Aaron Gruber,https://profiles.ucalgary.ca/aaron-gruber,depression,depression,"Mental Depression | Depressive disorder | Reactive depression | Depression, Postpartum",depression,MTH | MSH,C0011570 | C0011581 | C0011579 | C0221074,yes,"Mental Depression | Depressive disorder | Reactive depression | Depression, Postpartum",Mental Depression,Depression,Depression
Aaron Gruber,https://profiles.ucalgary.ca/aaron-gruber,inflammatory molecules,inflammatory molecules,Pelvic Inflammatory Disease | Inflammatory Bowel Diseases | Inflammatory carcinoma | Inflammatory polyp | Cell Adhesion Molecules,inflammatory molecules,MTH,C0242172 | C0021390 | C0334385 | C0032568 | C0007578,yes,Pelvic Inflammatory Disease | Inflammatory Bowel Diseases | Inflammatory carcinoma | Inflammatory polyp | Cell Adhesion Molecules,inflammatory molecules,Inflammatory Molecules,Inflammatory Molecules
Aaron Gruber,https://profiles.ucalgary.ca/aaron-gruber,neuromodulators like dopamine,neuromodulators like dopamine,dopamine | dopamine hydrochloride | Dopamine Agonists | Dopamine Receptor | Dopamine Antagonists,,MTH,C0013030 | C0282151 | C0178601 | C0034798 | C0242702,yes,dopamine | dopamine hydrochloride | Dopamine Agonists | Dopamine Receptor | Dopamine Antagonists,neuromodulators like dopamine,Neuromodulators Like Dopamine,Neuromodulators Like Dopamine
Aaron Gruber,https://profiles.ucalgary.ca/aaron-gruber,machine learning,machine learning,Machine Learning | Supervised Machine Learning | Unsupervised Machine Learning | Reinforcement Machine Learning | Representation Machine Learning,machine learning,MSH,C0376284 | C4042903 | C4042902 | C5940531 | C5940532,yes,Machine Learning | Supervised Machine Learning | Unsupervised Machine Learning | Reinforcement Machine Learning | Representation Machine Learning,Machine Learning,Machine Learning,Machine Learning
Aaron Phillips,https://profiles.ucalgary.ca/aaron-phillips,he studies the interactions between the nervous,he studies the interactions between the nervous,Drug Interactions | Feeling nervous | nervous system disorder | Nervous breakdown | Hydrophobic Interactions,,MTH | MSH,C0687133 | C0849963 | C0027765 | C0221508 | C0678607,yes,Drug Interactions | Feeling nervous | nervous system disorder | Nervous breakdown | Hydrophobic Interactions,he studies the interactions between the nervous,Studies The Interactions Between The Nervous,
Aaron Phillips,https://profiles.ucalgary.ca/aaron-phillips,cardiovascular systems,cardiovascular systems,Cardiovascular system alteration | Cardiovascular system excision | Cardiovascular Diseases,cardiovascular systems,MTH | SNOMEDCT_US,C0184522 | C0189591 | C0007222,yes,Cardiovascular system alteration | Cardiovascular system excision | Cardiovascular Diseases,Cardiovascular system excision,Cardiovascular System,Cardiovascular System
Aaron Phillips,https://profiles.ucalgary.ca/aaron-phillips,has driven the development of enhanced monitoring,has driven the development of enhanced monitoring,Pervasive Development Disorder | Psychosexual Development | Enhanced note | Contrast-Enhanced Mammography | Enhanced external counterpulsation,,MTH | SNOMEDCT_US,C0524528 | C0033944 | C4018861 | C4723846 | C1640731,yes,Pervasive Development Disorder | Psychosexual Development | Enhanced note | Contrast-Enhanced Mammography | Enhanced external counterpulsation,has driven the development of enhanced monitoring,Driven The Development Of Enhanced Monitoring,
Aaron Phillips,https://profiles.ucalgary.ca/aaron-phillips,therapeutics for neurological,therapeutics for neurological,Therapeutic procedure | Neurological Rehabilitation | Neurological observations,,MTH,C0087111 | C0204096 | C0422837,yes,Therapeutic procedure | Neurological Rehabilitation | Neurological observations,therapeutics for neurological,Therapeutics For Neurological,Therapeutics For Neurological
Aaron Phillips,https://profiles.ucalgary.ca/aaron-phillips,biomedical engineering,biomedical engineering,Biomedical Cement | Biomedical Research | Tissue Engineering,biomedical engineering,MTH | MSH,C1704479 | C0005540 | C0596171,yes,Biomedical Cement | Biomedical Research | Tissue Engineering,biomedical engineering,Biomedical Engineering,Biomedical Engineering
Aaron Phillips,https://profiles.ucalgary.ca/aaron-phillips,physiology & pharmacology,physiology pharmacology,physiological aspects | Cell physiology | Respiratory physiology | Network Pharmacology,,MTH | MSH,C0031843 | C0007613 | C0035245 | C5544472,yes,physiological aspects | Cell physiology | Respiratory physiology | Network Pharmacology,physiology & pharmacology,Physiology Pharmacology,Physiology Pharmacology
Aaron Phillips,https://profiles.ucalgary.ca/aaron-phillips,pins prize in neuromodulation from science,pins prize in neuromodulation from science,Percutaneous Neuromodulation Therapy | Neuromodulators | Neurostimulation/modulation,,MSH | SNOMEDCT_US,C1518963 | C0949370 | C0394674,yes,Percutaneous Neuromodulation Therapy | Neuromodulators | Neurostimulation/modulation,pins prize in neuromodulation from science,Pins Prize In Neuromodulation From Science,
Aaron Phillips,https://profiles.ucalgary.ca/aaron-phillips,brain canada leader,brain canada leader,Brain Concussion | Brain Injuries | Brain Neoplasms | Brain Diseases,,MTH,C0006107 | C0270611 | C0006118 | C0006111,yes,Brain Concussion | Brain Injuries | Brain Neoplasms | Brain Diseases,brain canada leader,Brain Canada Leader,
Aaron Phillips,https://profiles.ucalgary.ca/aaron-phillips,leads a graduate-level course on commercializing medical neuro-technologies,leads a graduate-level course on commercializing medical neuro-technologies,,,,,no,leads a graduate-level course on commercializing medical neuro-technologies,leads a graduate-level course on commercializing medical neuro-technologies,Leads A Graduate Level Course On Commercializing Medical Neuro Technologies,
Aaron Phillips,https://profiles.ucalgary.ca/aaron-phillips,neurostimulation hardware,neurostimulation hardware,Hardware Removal | Orthopedic Hardware Removal | Neurostimulation procedure | Neurostimulation/modulation | Neurostimulation of peripheral nerve,,MSH | SNOMEDCT_US,C5453054 | C5940846 | C0521307 | C0394674 | C0394632,yes,Hardware Removal | Orthopedic Hardware Removal | Neurostimulation procedure | Neurostimulation/modulation | Neurostimulation of peripheral nerve,neurostimulation hardware,Neurostimulation Hardware,Neurostimulation Hardware
Aaron Phillips,https://profiles.ucalgary.ca/aaron-phillips,brain computer interfaces,brain computer interfaces,Computed tomography of brain | User-Computer Interface | Computed tomography of brain abnormal,brain computer interfaces | brain computer | computer interfaces,MTH | SNOMEDCT_US,C0412585 | C0042117 | C1318624,yes,Computed tomography of brain | User-Computer Interface | Computed tomography of brain abnormal,User-Computer Interface,Brain Computer Interfaces,Brain Computer Interfaces
Abdullah Al Maruf,https://profiles.ucalgary.ca/abdullah-al-maruf,precision pharmacotherapy,precision pharmacotherapy,Pharmacotherapy | antidepressant pharmacotherapy | Precision Medicine | Supportive pharmacotherapy,,MTH | MSH | SNOMEDCT_US,C0013216 | C2957654 | C2718059 | C0436313,yes,Pharmacotherapy | antidepressant pharmacotherapy | Precision Medicine | Supportive pharmacotherapy,precision pharmacotherapy,Precision Pharmacotherapy,Precision Pharmacotherapy
Abdullah Al Maruf,https://profiles.ucalgary.ca/abdullah-al-maruf,adverse drug reactions,adverse drug reactions,Adverse reaction to drug | Allergies & Adverse Drug Reactions | Adverse reaction to antidiarrheal drug,adverse drug reactions | adverse drug | drug reactions,MTH,C0041755 | C2599643 | C0474035,yes,Adverse reaction to drug | Allergies & Adverse Drug Reactions | Adverse reaction to antidiarrheal drug,Allergies & Adverse Drug Reactions,Adverse Drug Reactions,Adverse Drug Reactions
Abdullah Al Maruf,https://profiles.ucalgary.ca/abdullah-al-maruf,translational pharmacotherapy,translational pharmacotherapy,"Translational Research, Biomedical | Pharmacotherapy | antidepressant pharmacotherapy | Translational osteotomy | Supportive pharmacotherapy",,MTH | SNOMEDCT_US,C1519620 | C0013216 | C2957654 | C0407434 | C0436313,yes,"Translational Research, Biomedical | Pharmacotherapy | antidepressant pharmacotherapy | Translational osteotomy | Supportive pharmacotherapy",translational pharmacotherapy,Translational Pharmacotherapy,Translational Pharmacotherapy
Abdullah Al Maruf,https://profiles.ucalgary.ca/abdullah-al-maruf,population therapeutics and health outcomes,population therapeutics and health outcomes,Therapeutic procedure | mental health,,MTH,C0087111 | C0025353,yes,Therapeutic procedure | mental health,population therapeutics and health outcomes,Population Therapeutics And Health Outcomes,
Abdullah Al Maruf,https://profiles.ucalgary.ca/abdullah-al-maruf,scholarship of teaching and learning,scholarship of teaching and learning,Learning | Learning Disorders | Learning Disabilities | Verbal Learning | Receives income from scholarship,,MTH | MSH | SNOMEDCT_US,C0023185 | C0023186 | C0751265 | C0042531 | C6064258,yes,Learning | Learning Disorders | Learning Disabilities | Verbal Learning | Receives income from scholarship,scholarship of teaching and learning,Scholarship Of Teaching And Learning,
Abdullah Al Maruf,https://profiles.ucalgary.ca/abdullah-al-maruf,population therapeutics,population therapeutics,Therapeutic procedure,,MTH,C0087111,yes,Therapeutic procedure,population therapeutics,Population Therapeutics,Population Therapeutics
Abdullah Al Maruf,https://profiles.ucalgary.ca/abdullah-al-maruf,health outcomes,health outcomes,Health behavior outcomes,health outcomes,MTH,C0518902,yes,Health behavior outcomes,Health behavior outcomes,Health Outcomes,Health Outcomes
Abdullah Al Maruf,https://profiles.ucalgary.ca/abdullah-al-maruf,maruf investigated the connections between inflammation,maruf investigated the connections between inflammation,Gastrointestinal investigation | Concordant atrioventricular connections | Concordant ventriculoarterial connections | Double outlet ventriculoarterial connections | Systemic venous connections normal,,MTH | SNOMEDCT_US,C0430681 | C2063577 | C3164485 | C3164840 | C2960602,yes,Gastrointestinal investigation | Concordant atrioventricular connections | Concordant ventriculoarterial connections | Double outlet ventriculoarterial connections | Systemic venous connections normal,maruf investigated the connections between inflammation,Maruf Investigated The Connections Between Inflammation,
Abdullah Al Maruf,https://profiles.ucalgary.ca/abdullah-al-maruf,xenobiotic-induced liver injury,xenobiotic-induced liver injury,"Chemical and Drug Induced Liver Injury | Drug-Induced Liver Injury, Chronic | Drug-Induced Acute Liver Injury | Chemical-Induced Liver Injury, Chronic | Drug-Induced Liver Disease",induced liver injury,MTH | MSH,C4277682 | C2717837 | C3658290 | C4505493 | C0860207,yes,"Chemical and Drug Induced Liver Injury | Drug-Induced Liver Injury, Chronic | Drug-Induced Acute Liver Injury | Chemical-Induced Liver Injury, Chronic | Drug-Induced Liver Disease","Chemical-Induced Liver Injury, Chronic",Induced Liver Injury,Induced Liver Injury
Abdullah Al Maruf,https://profiles.ucalgary.ca/abdullah-al-maruf,roles of carbonyl metabolizing enzymes in health,roles of carbonyl metabolizing enzymes in health,iron carbonyl | nickel carbonyl | Gene product metabolic activity descriptors,,MTH | MSH | SNOMEDCT_US,C0876769 | C0068680 | C5761567,yes,iron carbonyl | nickel carbonyl | Gene product metabolic activity descriptors,roles of carbonyl metabolizing enzymes in health,Roles Of Carbonyl Metabolizing Enzymes In Health,
Adel Gabriel,https://profiles.ucalgary.ca/adel-gabriel,clinical outcomes,clinical outcomes,Clinical Trials | Nutrition outcomes | Expected outcomes | R-Outcomes | Elimination outcomes,clinical outcomes,MTH,C0008976 | C0518896 | C2963499 | C5445044 | C0518891,yes,Clinical Trials | Nutrition outcomes | Expected outcomes | R-Outcomes | Elimination outcomes,clinical outcomes,Clinical Outcomes,Clinical Outcomes
Adel Gabriel,https://profiles.ucalgary.ca/adel-gabriel,mood disorders,mood disorders,Mood Disorders | Psychotic Mood Disorders | Organic mood disorder | Bipolar Disorder,mood disorders,MSH | SNOMEDCT_US | MTH,C0525045 | C0086640 | C0029232 | C0005586,yes,Mood Disorders | Psychotic Mood Disorders | Organic mood disorder | Bipolar Disorder,Mood Disorders,Mood Disorders,Mood Disorders
Adel Gabriel,https://profiles.ucalgary.ca/adel-gabriel,anxiety disorders,anxiety disorders,Anxiety Disorders | Generalized Anxiety Disorder | Anxiety disorders NEC in MedDRA,anxiety disorders,MTH,C0003469 | C0270549 | C0853381,yes,Anxiety Disorders | Generalized Anxiety Disorder | Anxiety disorders NEC in MedDRA,Anxiety Disorders,Anxiety Disorders,Anxiety Disorders
Adel Gabriel,https://profiles.ucalgary.ca/adel-gabriel,attention deficit disorder,attention deficit disorder,Attention Deficit Disorder | Attention deficit hyperactivity disorder | Child attention deficit disorder,attention deficit disorder | attention deficit | deficit disorder,MTH,C0041671 | C1263846 | C0004269,yes,Attention Deficit Disorder | Attention deficit hyperactivity disorder | Child attention deficit disorder,Attention Deficit Disorder,Attention Deficit Disorder,Attention Deficit Disorder
Adriana Zardini Buzatto,https://profiles.ucalgary.ca/adriana-zardini-buzatto,biochemical pathways,biochemical pathways,Biochemical Pathway,biochemical pathways,MTH,C1704259,yes,Biochemical Pathway,Biochemical Pathway,Biochemical Pathway,Biochemical Pathway
Adriana Zardini Buzatto,https://profiles.ucalgary.ca/adriana-zardini-buzatto,physiological processes,physiological processes,Physiological Processes | Cell Physiological Processes,physiological processes,MTH | MSH,C0031845 | C2350484,yes,Physiological Processes | Cell Physiological Processes,Physiological Processes,Physiological Processes,Physiological Processes
Adriana Zardini Buzatto,https://profiles.ucalgary.ca/adriana-zardini-buzatto,bioinformatics,bioinformatics,,bioinformatics,,,no,bioinformatics,bioinformatics,Bioinformatics,Bioinformatics
Adriana Zardini Buzatto,https://profiles.ucalgary.ca/adriana-zardini-buzatto,semi-targeted lipidomics,semi-targeted lipidomics,"Radiotherapy, Targeted | Targeted Toxins | Molecular Targeted Therapy | Lipidome | Targeted muscle reinnervation",,MSH | SNOMEDCT_US,C0205918 | C0162321 | C2699893 | C4727084 | C5191671,yes,"Radiotherapy, Targeted | Targeted Toxins | Molecular Targeted Therapy | Lipidome | Targeted muscle reinnervation",semi-targeted lipidomics,Semi Targeted Lipidomics,Semi Targeted Lipidomics
Adriana Zardini Buzatto,https://profiles.ucalgary.ca/adriana-zardini-buzatto,lipid differences amongst control,lipid differences amongst control,"Lipids | Pneumonia, Lipid | Lipid Metabolism Disorders | Lipid panel | Regional ventilation differences",,MTH | SNOMEDCT_US,C0023779 | C0032298 | C0154251 | C0200382 | C0231943,yes,"Lipids | Pneumonia, Lipid | Lipid Metabolism Disorders | Lipid panel | Regional ventilation differences",lipid differences amongst control,Lipid Differences Amongst Control,Lipid Differences Amongst Control
Adriana Zardini Buzatto,https://profiles.ucalgary.ca/adriana-zardini-buzatto,lipidomics (analytical methods using chromatography and mass spectrometry,lipidomics analytical methods using chromatography and mass spectrometry,,,,,no,lipidomics analytical methods using chromatography and mass spectrometry,lipidomics (analytical methods using chromatography and mass spectrometry,Lipidomics Analytical Methods Using Chromatography And Mass Spectrometry,
Adriana Zardini Buzatto,https://profiles.ucalgary.ca/adriana-zardini-buzatto,software development,software development,Computer software | Pervasive Development Disorder | Psychosexual Development,,MTH,C0037585 | C0524528 | C0033944,yes,Computer software | Pervasive Development Disorder | Psychosexual Development,software development,Software Development,Software Development
Adriana Zardini Buzatto,https://profiles.ucalgary.ca/adriana-zardini-buzatto,microbial lipidomics,microbial lipidomics,Microbial subculture | microbial metalloproteinases | Lipidome | Microbial antigen,,MTH | MSH | SNOMEDCT_US,C0200940 | C0066508 | C4727084 | C1291775,yes,Microbial subculture | microbial metalloproteinases | Lipidome | Microbial antigen,microbial lipidomics,Microbial Lipidomics,Microbial Lipidomics
Adriana Zardini Buzatto,https://profiles.ucalgary.ca/adriana-zardini-buzatto,lipidomics of extracellular vesicles,lipidomics of extracellular vesicles,Lipidome,extracellular vesicles,MSH,C4727084,yes,Lipidome,lipidomics of extracellular vesicles,Lipidomics Of Extracellular Vesicles,Lipidomics Of Extracellular Vesicles
Adriana Zardini Buzatto,https://profiles.ucalgary.ca/adriana-zardini-buzatto,lipids involved in neurodegeneration and aging,lipids involved in neurodegeneration and aging,Lipids | Lipids measurement | Total lipids | guggul lipids | Autosomal dominant striatal neurodegeneration,lipids involved,MTH,C0023779 | C0523744 | C0369610 | C0937628 | C4511004,yes,Lipids | Lipids measurement | Total lipids | guggul lipids | Autosomal dominant striatal neurodegeneration,lipids involved in neurodegeneration and aging,Lipids Involved In Neurodegeneration And Aging,
Adriana Zardini Buzatto,https://profiles.ucalgary.ca/adriana-zardini-buzatto,exposomics - environmental lipidomics,exposomics - environmental lipidomics,Environmental Illness | Lipidome,,MTH | MSH,C0282504 | C4727084,yes,Environmental Illness | Lipidome,exposomics - environmental lipidomics,Exposomics Environmental Lipidomics,Exposomics Environmental Lipidomics
Adriana Zardini Buzatto,https://profiles.ucalgary.ca/adriana-zardini-buzatto,lipidomics (analytical methods,lipidomics analytical methods,Analytic Sample Preparation Methods,analytical methods,MSH,C1720914,yes,Analytic Sample Preparation Methods,lipidomics (analytical methods,Lipidomics Analytical Methods,Lipidomics Analytical Methods
Adriana Zardini Buzatto,https://profiles.ucalgary.ca/adriana-zardini-buzatto,"mass spectrometry, database creation, software development, data sciences)",mass spectrometry database creation software development data sciences,Mass Spectrometry | database management software,,MTH,C0037813 | C0683869,yes,Mass Spectrometry | database management software,Mass Spectrometry,Mass Spectrometry,Mass Spectrometry
Adriana Zardini Buzatto,https://profiles.ucalgary.ca/adriana-zardini-buzatto,alzheimer disease,alzheimer disease,Alzheimer's Disease | ALZHEIMER DISEASE 2 | ALZHEIMER DISEASE 4 | Alzheimer Disease 9,alzheimer disease,MTH,C0002395 | C1863051 | C1847200 | C1837149,yes,Alzheimer's Disease | ALZHEIMER DISEASE 2 | ALZHEIMER DISEASE 4 | Alzheimer Disease 9,Alzheimer's Disease,Alzheimer Disease,Alzheimer Disease
Adriana Zardini Buzatto,https://profiles.ucalgary.ca/adriana-zardini-buzatto,role of lipid species in human metabolism,role of lipid species in human metabolism,"Lipid Metabolism Disorders | Lipids | Pneumonia, Lipid | Lipid panel",,MTH,C0154251 | C0023779 | C0032298 | C0200382,yes,"Lipid Metabolism Disorders | Lipids | Pneumonia, Lipid | Lipid panel",Lipid Metabolism Disorders,Lipid Metabolism,Lipid Metabolism
Adriana Zardini Buzatto,https://profiles.ucalgary.ca/adriana-zardini-buzatto,intercellular communication,intercellular communication,Intercellular Communication,intercellular communication,MTH,C0007582,yes,Intercellular Communication,Intercellular Communication,Intercellular Communication,Intercellular Communication
Adriana Zardini Buzatto,https://profiles.ucalgary.ca/adriana-zardini-buzatto,lipid species in human metabolism,lipid species in human metabolism,"Lipid Metabolism Disorders | Lipids | Pneumonia, Lipid | Lipid panel | insulin, regular, human",,MTH,C0154251 | C0023779 | C0032298 | C0200382 | C0795635,yes,"Lipid Metabolism Disorders | Lipids | Pneumonia, Lipid | Lipid panel | insulin, regular, human",Lipid Metabolism Disorders,Lipid Metabolism,Lipid Metabolism
Adrianna Giuffre,https://profiles.ucalgary.ca/adrianna-giuffre,brain stimulation,brain stimulation,Deep Brain Stimulation | Electrical Stimulation of the Brain | Brain stimulation | Direct brain stimulation,brain stimulation,MTH | MSH | SNOMEDCT_US,C0394162 | C0302825 | C0870227 | C0555354,yes,Deep Brain Stimulation | Electrical Stimulation of the Brain | Brain stimulation | Direct brain stimulation,Brain stimulation,Brain Stimulation,Brain Stimulation
Adrianna Giuffre,https://profiles.ucalgary.ca/adrianna-giuffre,mental health,mental health,mental health | Mental health treatment,mental health,MTH | SNOMEDCT_US,C0025353 | C0184647,yes,mental health | Mental health treatment,mental health,Mental Health,Mental Health
Adrianna Giuffre,https://profiles.ucalgary.ca/adrianna-giuffre,neurodevelopment disorders,neurodevelopment disorders,Neurodevelopmental Disorders | Deglutition Disorders | Migraine Disorders | Cerebrovascular Disorders | Personality Disorders,neurodevelopment disorders,MTH | MSH,C1535926 | C0011168 | C0149931 | C0007820 | C0031212,yes,Neurodevelopmental Disorders | Deglutition Disorders | Migraine Disorders | Cerebrovascular Disorders | Personality Disorders,neurodevelopment disorders,Neurodevelopment Disorders,Neurodevelopment Disorders
Adrianna Giuffre,https://profiles.ucalgary.ca/adrianna-giuffre,neuroimaging,neuroimaging,Neuroimaging | Functional Neuroimaging,neuroimaging,MTH | MSH,C0679575 | C3178877,yes,Neuroimaging | Functional Neuroimaging,Neuroimaging,Neuroimaging,Neuroimaging
Adrianna Giuffre,https://profiles.ucalgary.ca/adrianna-giuffre,epilepsy,epilepsy,"Epilepsy | Absence Epilepsy | Tonic-Clonic Epilepsy | Epilepsy, Complex Partial",epilepsy,MTH | MSH,C0014544 | C0014553 | C0014549 | C0085417,yes,"Epilepsy | Absence Epilepsy | Tonic-Clonic Epilepsy | Epilepsy, Complex Partial",Epilepsy,Epilepsy,Epilepsy
Adrianna Giuffre,https://profiles.ucalgary.ca/adrianna-giuffre,multiple sclerosis,multiple sclerosis,"Multiple Sclerosis | Multiple Sclerosis, Chronic Progressive | Malignant multiple sclerosis | Benign multiple sclerosis",multiple sclerosis,MTH | MSH | SNOMEDCT_US,C0026769 | C0393665 | C2586221 | C2585570,yes,"Multiple Sclerosis | Multiple Sclerosis, Chronic Progressive | Malignant multiple sclerosis | Benign multiple sclerosis",Multiple Sclerosis,Multiple Sclerosis,Multiple Sclerosis
